"hafasId";"rmvId";"dhId";"hstName";"nameFahrPlan";"xIplWert";"yIplWert";"xWgs84";"yWgs84";"lno";"istBahnhof";"gueltigAb";"gueltigBis";"verbund1IstGleichRmv";"land";"rp";"landKreis";"gemeindeName";"ortsTeilName";"agsLand";"agsRp";"agsLk";"agsG";"agsOt"
"3002759";"2759";"de:06438:2759";"Luisenstraße";"Langen (Hessen) Luisenstraße";"3475792";"5539488";"8,66137291007628";"49,9912445197345";"KVG OF";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Offenbach";"Langen (Hessen)";"Langen (Hessen)";"06";"4";"38";"006";"000"
"3002760";"2760";"de:06438:2760";"Berliner Ring West";"Dreieich-Sprendlingen Berliner Ring West";"3477312";"5544096";"8,68229694111713";"50,0327315883";"KVG OF";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Offenbach";"Dreieich";"Sprendlingen";"06";"4";"38";"002";"050"
"3002761";"2761";"de:06438:2761";"Berliner Ring Süd";"Dreieich-Sprendlingen Berliner Ring Süd";"3477514";"5544015";"8,68512102369395";"50,0320110453597";"KVG OF";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Offenbach";"Dreieich";"Sprendlingen";"06";"4";"38";"002";"050"
"3002762";"2762";"de:06438:2762";"Waldfriedhof";"Neu-Isenburg Waldfriedhof";"3479270";"5544892";"8,70958188706833";"50,0399592902129";"KVG OF";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Offenbach";"Neu-Isenburg";"Neu-Isenburg";"06";"4";"38";"009";"010"
"3002764";"2764";"de:06438:2764";"Heckenweg";"Dreieich-Dreieichenhain Heckenweg";"3478969";"5540789";"8,70560519390073";"50,0030615433037";"KVG OF";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Offenbach";"Dreieich";"Dreieichenhain";"06";"4";"38";"002";"020"
"3002766";"2766";"de:06438:2766";"Kurt-Schumacher-Ring Süd";"Dreieich-Sprendlingen Kurt-Schumacher-Ring Süd";"3478123";"5544241";"8,69360786358514";"50,0340655491658";"KVG OF";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Offenbach";"Dreieich";"Sprendlingen";"06";"4";"38";"002";"050"
"3002799";"2799";"de:06412:2799";"Louisa Bahnhof";"Frankfurt-Louisa";"3476482";"5549797";"8,67036226106899";"50,0839525364144";"TRAFFIQ";"1";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Sachsenhausen-Süd";"06";"4";"12";"000";"814"
"3002801";"2801";"de:06438:2801";"Bahnhof";"Zeppelinheim";"3471787";"5544543";"8,60515167881727";"50,0365139078523";"KVG OF";"1";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Offenbach";"Neu-Isenburg";"Zeppelinheim";"06";"4";"38";"009";"020"
"3002802";"2802";"de:06433:2802";"Bahnhof";"Walldorf(Hess)";"3470021";"5540640";"8,58080676980489";"50,0013389015558";"LNVG GG";"1";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Groß-Gerau";"Mörfelden-Walldorf";"Walldorf";"06";"4";"33";"008";"020"
"3002804";"2804";"de:06438:2804";"Ludwig-Dürr-Straße";"Neu-Isenburg-Zeppelinheim Ludwig-Dürr-Straße";"3472378";"5544296";"8,61341869732642";"50,0343210582469";"KVG OF";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Offenbach";"Neu-Isenburg";"Zeppelinheim";"06";"4";"38";"009";"020"
